[ 2017-03-28T13:17:31+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/top | INFO: Tag[ route_check ] --START--
[ 2017-03-28T13:17:31+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/top | INFO: Run CheckRoute Behavior [ RunTime:0.003000s ]
[ 2017-03-28T13:17:31+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/top | INFO: Tag[ route_check ] --END-- [ RunTime:0.003000s ]
[ 2017-03-28T13:17:31+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/top | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-03-28T13:17:31+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/top | INFO: Tag[ app_begin ] --START--
[ 2017-03-28T13:17:31+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/top | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2017-03-28T13:17:31+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/top | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2017-03-28T13:17:31+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/top | SQL: select a.column_name,data_type,decode(nullable,'Y',0,1) notnull,data_default,decode(a.column_name,b.column_name,1,0) pk from user_tab_columns a,(select column_name from user_constraints c,user_cons_columns col where c.constraint_name=col.constraint_name and c.constraint_type='P'and c.table_name='ERP_CITY') b where table_name='ERP_CITY' and a.column_name=b.column_name(+) [ RunTime:0.000000s ]
[ 2017-03-28T13:17:31+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/top | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 699 行.
[ 2017-03-28T13:17:31+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/top | SQL: SELECT * FROM (SELECT thinkphp.*, rownum AS numrow FROM (SELECT   * FROM erp_city WHERE ISVALID=-1 AND ID = 1) thinkphp )  WHERE (numrow>0 AND numrow<=1) [ RunTime:0.000000s ]
[ 2017-03-28T13:17:31+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/top | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 699 行.
[ 2017-03-28T13:17:31+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/top | SQL: SELECT * FROM (SELECT thinkphp.*, rownum AS numrow FROM (SELECT   * FROM erp_city WHERE ISVALID=-1) thinkphp )  [ RunTime:0.001000s ]
[ 2017-03-28T13:17:31+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/top | SQL:             SELECT count(1) NUM
            FROM
              (SELECT B.STATUS,
                      B.ID
               FROM ERP_FLOWSET A
               LEFT JOIN ERP_FLOWS B ON A.ID= B.FLOWSETID
               LEFT JOIN ERP_FLOWTYPE C ON A.FLOWTYPE = C.ID
               LEFT JOIN ERP_USERS E ON E.ID=B.ADDUSER
               LEFT JOIN ERP_DEPT X ON E.DEPTID = X.ID) F
            INNER JOIN ERP_FLOWNODE G ON F.ID = G.FLOWID
            WHERE (F.STATUS=1
                   OR F.STATUS=2)
              AND (G.STATUS = 1
                   OR G.STATUS=2)
              AND G.DEAL_USERID = 2363 [ RunTime:0.000000s ]
[ 2017-03-28T13:17:31+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/top | INFO: Tag[ view_template ] --START--
