[ 2015-11-13T13:19:49+08:00 ] /tpp/app/index.php?s=/Migration/project_data | INFO: Tag[ route_check ] --START--
[ 2015-11-13T13:19:49+08:00 ] /tpp/app/index.php?s=/Migration/project_data | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2015-11-13T13:19:49+08:00 ] /tpp/app/index.php?s=/Migration/project_data | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2015-11-13T13:19:49+08:00 ] /tpp/app/index.php?s=/Migration/project_data | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2015-11-13T13:19:49+08:00 ] /tpp/app/index.php?s=/Migration/project_data | INFO: Tag[ app_begin ] --START--
[ 2015-11-13T13:19:49+08:00 ] /tpp/app/index.php?s=/Migration/project_data | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2015-11-13T13:19:49+08:00 ] /tpp/app/index.php?s=/Migration/project_data | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2015-11-13T13:19:49+08:00 ] /tpp/app/index.php?s=/Migration/project_data | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2015-11-13T13:19:49+08:00 ] /tpp/app/index.php?s=/Migration/project_data | SQL: select * from erp_user   [ RunTime:0.157009s ]
[ 2015-11-13T13:20:45+08:00 ] /tpp/app/index.php?s=/Migration/project_data | INFO: Tag[ route_check ] --START--
[ 2015-11-13T13:20:45+08:00 ] /tpp/app/index.php?s=/Migration/project_data | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2015-11-13T13:20:45+08:00 ] /tpp/app/index.php?s=/Migration/project_data | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2015-11-13T13:20:45+08:00 ] /tpp/app/index.php?s=/Migration/project_data | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2015-11-13T13:20:45+08:00 ] /tpp/app/index.php?s=/Migration/project_data | INFO: Tag[ app_begin ] --START--
[ 2015-11-13T13:20:45+08:00 ] /tpp/app/index.php?s=/Migration/project_data | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2015-11-13T13:20:45+08:00 ] /tpp/app/index.php?s=/Migration/project_data | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2015-11-13T13:20:45+08:00 ] /tpp/app/index.php?s=/Migration/project_data | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2015-11-13T13:20:45+08:00 ] /tpp/app/index.php?s=/Migration/project_data | SQL: select * from erp_project where city in (1) [ RunTime:0.193011s ]
